Player Name,Team Name,Playing Role,Batting Style,Batting Position,Runs_Scored,Batting Average,Strike_rate,Total_hundreds,Total_fifties,Fours_Scored,Sixes_scored,Bowling Style,Runs_Conceded,Total_Wickets_Taken,Economy,Bowling Strike Rate,Bowling Average,Fours_Conceded,Sixes_Conceded
Kamindu Mendis,Sri Lanka,Allrounder,Left hand Bat,4,66,16.5,143.48,0,0,6,3,"Right arm Offbreak, Slow Left arm Orthodox",48,0,9.6,0.0,0.0,3,3
Kamran Akmal,Pakistan,Wicketkeeper Batter,Right hand Bat,3,600,21.43,120.0,0,3,67,16,,0,0,0.0,0.0,0.0,0,0
Kane Richardson,Australia,Bowler,Right hand Bat,9,9,4.5,112.5,0,0,0,0,Right arm Fast medium,431,15,8.1,21.2,28.73,48,11
Kane Williamson,New Zealand,Top order Batter,Right hand Bat,3,1488,31.0,121.87,0,9,157,26,Right arm Offbreak,164,6,8.5,19.5,27.33,7,9
Karim Janat,Afghanistan,Bowling Allrounder,Right hand Bat,6,145,13.18,103.57,0,0,11,6,Right arm Medium,614,24,8.4,18.25,25.58,59,20
Karim Sadiq,Afghanistan,Opening Batter,Right hand Bat,3,538,14.94,109.13,0,1,61,10,Right arm Offbreak,482,14,6.9,30.0,34.43,29,14
Kasun Rajitha,Sri Lanka,Bowler,Right hand Bat,10,8,4.0,34.78,0,0,0,0,Right arm Medium fast,358,10,9.7,22.2,35.8,36,15
Kaushal Lokuarachchi,Sri Lanka,Bowling Allrounder,Right hand Bat,8,11,5.5,84.62,0,0,1,0,Legbreak,48,2,8.0,18.0,24.0,5,0
Kedar Jadhav,India,Batting Allrounder,Right hand Bat,5,122,20.33,123.23,0,1,12,3,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Keegan Meth,Zimbabwe,Allrounder,Right hand Bat,8,6,0.0,100.0,0,0,0,0,Right arm Medium fast,64,0,9.1,0.0,0.0,7,2
Keemo Paul,West Indies,Allrounder,Right hand Bat,8,142,20.29,115.45,0,0,8,8,Right arm Fast medium,540,24,8.4,16.08,22.5,52,15
Keith Dabengwa,Zimbabwe,Allrounder,Left hand Bat,6,13,13.0,162.5,0,0,1,1,Slow Left arm Orthodox,26,0,13.0,0.0,0.0,3,1
Kemar Roach,West Indies,Bowler,Right hand Bat,11,3,0.0,150.0,0,0,0,0,Right arm Fast medium,240,8,7.5,24.0,30.0,16,9
Kesrick Williams,West Indies,Bowler,Right hand Bat,10,19,6.33,111.76,0,0,1,1,Right arm Fast medium,700,40,8.2,12.75,17.5,56,25
Kevin O'Brien,Ireland,Batting Allrounder,Right hand Bat,4,1396,21.15,136.33,1,3,110,65,Right arm Medium fast,978,52,7.6,14.94,18.81,81,30
Kevin Pietersen,England,Top order Batter,Right hand Bat,3,609,55.36,140.65,0,5,60,18,Right arm Offbreak,17,0,8.5,0.0,0.0,2,1
Khaleel Ahmed,India,Bowler,Right hand Bat,11,1,0.0,100.0,0,0,0,0,Left arm Medium,420,11,8.8,26.18,38.18,53,13
Khalid Latif,Pakistan,Top order Batter,Right hand Bat,3,237,23.7,105.33,0,1,25,6,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Khary Pierre,West Indies,Allrounder,Left hand Bat,9,17,8.5,73.91,0,0,2,0,Slow Left arm Orthodox,203,5,8.8,27.6,40.6,11,11
Khurram Manzoor,Pakistan,Opening Batter,Right hand Bat,2,11,3.67,40.74,0,0,1,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Khushdil Shah,Pakistan,Middle order Batter,Left hand Bat,6,8,8.0,72.73,0,0,0,0,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Kieran Powell,West Indies,Opening Batter,Left hand Bat,4,12,12.0,85.71,0,0,1,0,"Right arm Medium, Right arm Offbreak",0,0,0.0,0.0,0.0,0,0
Kieron Pollard,West Indies,Batting Allrounder,Right hand Bat,5,959,23.98,127.7,0,4,59,56,Right arm Medium,642,21,8.4,21.71,30.57,35,29
Kithuruwan Vithanage,Sri Lanka,Middle order Batter,Left hand Bat,5,40,13.33,117.65,0,0,7,0,Legbreak,0,0,0.0,0.0,0.0,0,0
Krishmar Santokie,West Indies,Bowler,Left hand Bat,11,0,0.0,0.0,0,0,0,0,Left arm Medium,260,18,6.8,12.94,14.44,23,9
Krunal Pandya,India,Allrounder,Left hand Bat,7,121,24.2,131.52,0,0,8,6,Slow Left arm Orthodox,512,13,8.3,28.77,39.38,20,29
Kuldeep Yadav,India,Bowler,Left hand Bat,9,20,20.0,100.0,0,0,2,0,Left arm Wrist spin,476,36,7.1,11.25,13.22,23,26
Kumar Sangakkara,Sri Lanka,Wicketkeeper Batter,Left hand Bat,4,810,30.0,114.89,0,3,77,12,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,Right hand Bat,3,473,19.71,133.99,0,5,40,21,Legbreak,0,0,0.0,0.0,0.0,0,0
Kusal Perera,Sri Lanka,Wicketkeeper Batter,Left hand Bat,2,1171,27.88,135.06,0,11,114,41,,0,0,0.0,0.0,0.0,0,0
Kyle Abbott,South Africa,Bowler,Right hand Bat,9,23,11.5,115.0,0,0,2,0,Right arm Fast medium,579,26,8.1,16.58,22.27,57,18
Kyle Jarvis,Zimbabwe,Bowler,Right hand Bat,10,55,6.88,85.94,0,0,1,4,Right arm Fast medium,665,28,9.0,15.86,23.75,67,24
Kyle Mills,New Zealand,Bowler,Right hand Bat,9,20,5.0,71.43,0,0,3,0,Right arm Fast medium,731,27,8.0,20.44,27.07,75,29
Lahiru Kumara,Sri Lanka,Bowler,Left hand Bat,10,4,4.0,200.0,0,0,1,0,Right arm Fast,97,3,8.1,24.0,32.33,5,5
Lahiru Madushanka,Sri Lanka,Allrounder,Right hand Bat,6,21,10.5,80.77,0,0,1,0,Right arm Fast medium,36,0,9.0,0.0,0.0,1,1
Lahiru Thirimanne,Sri Lanka,Top order Batter,Left hand Bat,5,291,16.17,108.99,0,0,27,5,Right arm Medium fast,0,0,0.0,0.0,0.0,0,0
Lakshan Sandakan,Sri Lanka,Bowler,Right hand Bat,10,18,9.0,75.0,0,0,2,0,Left arm Wrist spin,400,13,7.3,25.38,30.77,22,13
Lasith Malinga,Sri Lanka,Bowler,Right hand Bat,10,68,4.53,66.02,0,0,6,1,Right arm Fast,1561,82,7.2,15.91,19.04,135,24
Lendl Simmons,West Indies,Top order Batter,Right hand Bat,3,789,23.21,116.72,0,5,64,36,Right arm Medium fast,0,0,0.0,0.0,0.0,0,0
Lewis Gregory,England,Allrounder,Right hand Bat,7,21,7.0,110.53,0,0,0,2,Right arm Medium fast,29,1,7.2,24.0,29.0,2,1
Liam Dawson,England,Allrounder,Right hand Bat,8,17,17.0,212.5,0,0,2,1,Slow Left arm Orthodox,152,5,7.6,24.0,30.4,6,8
Liam Livingstone,England,Batting Allrounder,Right hand Bat,5,16,8.0,84.21,0,0,1,0,"Right arm Offbreak, Legbreak",0,0,0.0,0.0,0.0,0,0
Liam Plunkett,England,Bowler,Right hand Bat,9,42,6.0,123.53,0,0,3,1,Right arm Fast,590,24,7.9,18.67,24.58,50,23
Litton Das,Bangladesh,Wicketkeeper Batter,Right hand Bat,3,497,19.88,138.06,0,2,44,22,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Lockie Ferguson,New Zealand,Bowler,Right hand Bat,10,1,1.0,33.33,0,0,0,0,Right arm Fast,222,14,7.2,13.29,15.86,22,6
Lonwabo Tsotsobe,South Africa,Bowler,Right hand Bat,11,1,0.0,33.33,0,0,0,0,Left arm Fast medium,525,17,6.9,26.82,30.88,56,12
Loots Bosman,South Africa,Opening Batter,Right hand Bat,2,66,8.25,97.06,0,0,5,3,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Lorcan Tucker,Ireland,Wicketkeeper Batter,Right hand Bat,6,102,10.2,103.03,0,0,10,1,,0,0,0.0,0.0,0.0,0,0
Luke Jongwe,Zimbabwe,Bowler,Right hand Bat,7,60,8.57,92.31,0,0,4,1,Right arm Fast medium,211,7,10.1,18.29,30.14,21,8
Luke Ronchi,New Zealand,Wicketkeeper Batter,Right hand Bat,6,312,18.35,137.44,0,1,22,13,,0,0,0.0,0.0,0.0,0,0
Luke Wright,England,Top order Batter,Right hand Bat,4,500,21.74,143.68,0,3,39,25,Right arm Medium,295,13,8.4,16.15,22.69,21,11
Lungi Ngidi,South Africa,Bowler,Right hand Bat,10,6,6.0,66.67,0,0,0,0,Right arm Fast medium,128,11,6.4,10.91,11.64,12,5
Lutho Sipamla,South Africa,Bowler,Right hand Bat,10,0,0.0,0.0,0,0,0,0,Right arm Fast medium,131,4,8.5,23.5,32.75,9,7
MS Dhoni,India,Wicketkeeper Batter,Right hand Bat,6,1261,45.04,133.3,0,2,93,45,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Mahedi Hasan,Bangladesh,Allrounder,Right hand Bat,8,11,11.0,100.0,0,0,1,0,Right arm Offbreak,25,0,12.5,0.0,0.0,2,2
Mahela Jayawardene,Sri Lanka,Batter,Right hand Bat,2,1052,38.96,133.67,1,7,126,24,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Mahela Udawatte,Sri Lanka,Batter,Left hand Bat,6,19,6.33,82.61,0,0,2,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Mahmudullah,Bangladesh,Allrounder,Right hand Bat,6,1364,26.23,127.36,0,4,110,47,Right arm Offbreak,760,29,7.4,21.45,26.21,37,29
Makhaya Ntini,South Africa,Bowler,Right hand Bat,11,1,0.0,50.0,0,0,0,0,Right arm Fast,46,0,11.5,0.0,0.0,5,2
Malcolm Waller,Zimbabwe,Batter,Right hand Bat,6,613,26.65,138.37,0,1,42,28,Right arm Offbreak,42,0,8.4,0.0,0.0,0,3
Mandeep Singh,India,Allrounder,Right hand Bat,2,87,43.5,119.18,0,1,11,1,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Mangaliso Mosehle,South Africa,Wicketkeeper Batter,Right hand Bat,5,105,21.0,161.54,0,0,6,9,,0,0,0.0,0.0,0.0,0,0
Manish Pandey,India,Top order Batter,Right hand Bat,5,587,39.13,122.8,0,2,40,16,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Manoj Tiwary,India,Batter,Right hand Bat,5,15,15.0,88.24,0,0,0,0,Legbreak Googly,0,0,0.0,0.0,0.0,0,0
Marcus Stoinis,Australia,Batting Allrounder,Right hand Bat,5,132,16.5,117.86,0,0,13,2,Right arm Medium,319,9,8.4,25.56,35.44,28,11
Mark Adair,Ireland,Bowling Allrounder,Right hand Bat,6,152,15.2,128.81,0,0,8,7,Right arm Fast medium,413,27,6.7,13.81,15.3,42,7
Mark Boucher,South Africa,Wicketkeeper Batter,Right hand Bat,6,29,9.67,85.29,0,0,1,0,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Mark Chapman,New Zealand,Allrounder,Left hand Bat,4,83,20.75,120.29,0,0,4,4,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Mark Wood,England,Bowler,Right hand Bat,11,10,0.0,83.33,0,0,1,0,Right arm Fast,148,11,8.6,9.55,13.45,13,8
Marlon Samuels,West Indies,Top order Batter,Right hand Bat,4,1475,30.73,113.29,0,9,135,59,Right arm Offbreak,494,20,7.4,20.1,24.7,27,21
Martin Guptill,New Zealand,Opening Batter,Right hand Bat,2,2195,35.4,136.5,2,15,195,103,Right arm Offbreak,11,0,11.0,0.0,0.0,1,1
Mashrafe Mortaza,Bangladesh,Bowler,Right hand Bat,8,243,11.57,144.64,0,0,23,15,Right arm Fast medium,1159,34,7.8,26.15,34.09,111,31
Matt Henry,New Zealand,Bowler,Right hand Bat,10,10,10.0,200.0,0,0,2,0,Right arm Fast medium,191,7,8.7,18.86,27.29,23,8
Matt Prior,England,Wicketkeeper Batter,Right hand Bat,8,1,0.0,100.0,0,0,0,0,,0,0,0.0,0.0,0.0,0,0
Matthew Wade,Australia,Wicketkeeper Batter,Left hand Bat,6,239,19.92,109.63,0,1,11,9,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Max Sorensen,Ireland,Bowler,Right hand Bat,8,92,18.4,116.46,0,0,4,3,Right arm Fast medium,471,26,7.3,14.96,18.12,48,14
Mehidy Hasan Miraz,Bangladesh,Allrounder,Right hand Bat,8,94,10.44,117.5,0,0,7,4,Right arm Offbreak,330,4,9.2,54.0,82.5,23,19
Michael Carberry,England,Opening Batter,Left hand Bat,1,7,7.0,100.0,0,0,1,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Michael Clarke,Australia,Middle order Batter,Right hand Bat,3,272,22.67,103.82,0,1,20,4,Slow Left arm Orthodox,72,1,9.0,48.0,72.0,4,4
Michael Hussey,Australia,Middle order Batter,Left hand Bat,5,495,49.5,137.12,0,3,39,17,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Michael Klinger,Australia,Batter,Right hand Bat,2,143,47.67,127.68,0,1,12,2,,0,0,0.0,0.0,0.0,0,0
Michael Lumb,England,Top order Batter,Left hand Bat,1,536,22.33,134.0,0,3,61,21,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Michael Yardy,England,Allrounder,Left hand Bat,7,49,24.5,122.5,0,0,5,0,Slow Left arm Orthodox,214,9,5.9,24.0,23.78,13,3
Miles Bascombe,West Indies,Batter,Right hand Bat,3,3,3.0,42.86,0,0,0,0,,0,0,0.0,0.0,0.0,0,0
Milinda Siriwardana,Sri Lanka,Allrounder,Left hand Bat,5,275,17.19,132.21,0,0,16,12,Slow Left arm Orthodox,206,8,9.0,17.25,25.75,12,13
Minod Bhanuka,Sri Lanka,Top order Batter,Left hand Bat,6,0,0.0,0.0,0,0,0,0,,0,0,0.0,0.0,0.0,0,0
Mirwais Ashraf,Afghanistan,Bowler,Right hand Bat,8,128,11.64,111.3,0,0,5,8,Right arm Fast medium,444,14,6.8,28.0,31.71,32,13
Misbah-ul-Haq,Pakistan,Middle order Batter,Right hand Bat,5,279,27.9,94.9,0,0,14,7,Legbreak,0,0,0.0,0.0,0.0,0,0
Mitchell Johnson,Australia,Bowler,Left hand Bat,8,48,6.86,82.76,0,0,2,1,Left arm Fast,521,24,7.4,17.58,21.71,54,11
Mitchell Marsh,Australia,Allrounder,Right hand Bat,6,175,21.88,115.89,0,0,7,9,Right arm Medium,156,6,8.2,19.0,26.0,12,6
Mitchell McClenaghan,New Zealand,Bowler,Left hand Bat,10,14,4.67,93.33,0,0,1,1,Left arm Fast medium,756,29,7.7,20.28,26.07,74,26
Mitchell Santner,New Zealand,Bowling Allrounder,Left hand Bat,7,263,15.47,128.29,0,0,22,7,Slow Left arm Orthodox,928,49,7.2,15.78,18.94,55,41
Mitchell Starc,Australia,Bowler,Left hand Bat,9,12,3.0,66.67,0,0,0,0,Left arm Fast,696,37,6.7,16.78,18.81,72,16
Mitchell Swepson,Australia,Bowler,Right hand Bat,10,3,0.0,75.0,0,0,0,0,Legbreak,37,2,9.2,12.0,18.5,3,1
Moeen Ali,England,Batting Allrounder,Left hand Bat,5,235,14.69,118.69,0,1,21,9,Right arm Offbreak,519,15,8.6,24.13,34.6,27,32
Mohammad Amir,Pakistan,Bowler,Left hand Bat,9,57,9.5,81.43,0,0,2,3,Left arm Fast medium,964,50,6.9,16.86,19.28,110,17
Mohammad Ashraful,Bangladesh,Middle order Batter,Right hand Bat,2,261,23.73,107.41,0,1,26,5,"Right arm Offbreak, Legbreak",32,1,6.4,30.0,32.0,1,0
Mohammad Asif,Pakistan,Bowler,Left hand Bat,11,5,0.0,250.0,0,0,1,0,Right arm Fast medium,74,1,9.2,48.0,74.0,7,2
Mohammad Hafeez,Pakistan,Allrounder,Right hand Bat,2,1726,25.01,115.53,0,10,173,47,Right arm Offbreak,1044,47,6.4,20.94,22.21,57,37
Mohammad Hasnain,Pakistan,Bowler,Right hand Bat,11,5,5.0,41.67,0,0,1,0,Right arm Fast,137,3,8.6,32.0,45.67,10,6
Mohammad Irfan,Pakistan,Bowler,Right hand Bat,11,4,0.0,50.0,0,0,0,0,Left arm Fast,531,16,7.3,27.56,33.19,55,16
Mohammad Mithun,Bangladesh,Top order Batter,Right hand Bat,3,117,11.7,93.6,0,0,9,4,,0,0,0.0,0.0,0.0,0,0
Mohammad Nabi,Afghanistan,Allrounder,Right hand Bat,5,1316,22.31,145.9,0,4,83,78,Right arm Offbreak,1839,69,7.2,22.3,26.65,108,77
Mohammad Naim,Bangladesh,Opening Batter,Left hand Bat,2,143,47.67,133.64,0,1,17,3,,0,0,0.0,0.0,0.0,0,0
Mohammad Nasim Baras,Afghanistan,Bowler,Left hand Bat,8,1,1.0,50.0,0,0,0,0,Slow Left arm Orthodox,56,2,7.0,24.0,28.0,5,1
Mohammad Nawaz,Pakistan,,,6,13,6.5,65.0,0,0,1,0,,340,12,6.8,25.0,28.33,23,19
Mohammad Rizwan,Pakistan,,,5,149,14.9,98.68,0,0,13,1,,0,0,0.0,0.0,0.0,0,0
Mohammad Saifuddin,Bangladesh,Bowling Allrounder,Left hand Bat,8,108,18.0,113.68,0,0,9,3,Right arm Medium fast,386,12,9.0,21.5,32.17,34,14
Mohammad Salman,Pakistan,,,7,5,5.0,83.33,0,0,0,0,,0,0,0.0,0.0,0.0,0,0
Mohammad Sami,Pakistan,,,10,21,21.0,70.0,0,0,2,0,,387,21,8.4,13.14,18.43,38,14
Mohammad Shahzad,Afghanistan,Wicketkeeper Batter,Right hand Bat,1,1936,31.23,134.82,1,12,218,72,,0,0,0.0,0.0,0.0,0,0
Mohammad Yousuf,Pakistan,,,3,30,15.0,125.0,0,0,3,0,,0,0,0.0,0.0,0.0,0,0
Mohit Sharma,India,Bowler,Right hand Bat,10,3,0.0,42.86,0,0,0,0,Right arm Medium,185,6,8.0,23.0,30.83,23,5
Moises Henriques,Australia,Allrounder,Right hand Bat,4,158,39.5,131.67,0,2,8,7,Right arm Fast medium,158,4,9.3,25.5,39.5,15,7
Mominul Haque,Bangladesh,Middle order Batter,Left hand Bat,5,60,20.0,120.0,0,0,5,2,Slow Left arm Orthodox,32,0,10.7,0.0,0.0,1,2
Morne Morkel,South Africa,Bowler,Left hand Bat,10,20,10.0,153.85,0,0,3,1,Right arm Fast,877,33,7.9,20.15,26.58,95,28
Morne van Wyk,South Africa,Wicketkeeper Batter,Right hand Bat,2,224,44.8,146.41,1,1,19,14,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Mosaddek Hossain,Bangladesh,Middle order Batter,Right hand Bat,7,183,20.33,105.78,0,0,10,5,Right arm Offbreak,160,5,7.5,26.0,32.0,5,10
Mujeeb Ur Rahman,Afghanistan,Bowler,Right hand Bat,11,8,0.0,100.0,0,0,1,0,Right arm Offbreak,324,20,5.4,18.0,16.2,24,11
Mukhtar Ahmed,Pakistan,,,1,192,32.0,143.28,0,2,23,5,,0,0,0.0,0.0,0.0,0,0
Muktar Ali,Bangladesh,Allrounder,Right hand Bat,7,19,0.0,126.67,0,0,1,1,Right arm Medium fast,17,0,8.5,0.0,0.0,2,0
Munaf Patel,India,Bowler,Right hand Bat,11,0,0.0,0.0,0,0,0,0,Right arm Medium fast,86,4,8.6,15.0,21.5,10,4
Murali Vijay,India,Opening Batter,Right hand Bat,2,169,18.78,109.74,0,0,13,8,Right arm Offbreak,9,0,4.5,0.0,0.0,0,0
Mushfiqur Rahim,Bangladesh,Wicketkeeper Batter,Right hand Bat,5,1208,20.83,121.9,0,5,107,31,,0,0,0.0,0.0,0.0,0,0
Mustafizur Rahman,Bangladesh,Bowler,Left hand Bat,10,43,4.3,78.18,0,0,3,3,Left arm Fast medium,1065,52,7.9,15.52,20.48,96,37
Naeem Islam,Bangladesh,Allrounder,Right hand Bat,6,53,10.6,100.0,0,0,5,2,Right arm Offbreak,41,1,6.8,36.0,41.0,3,1
Najeeb Tarakai,Afghanistan,Opening Batter,Right hand Bat,2,258,21.5,122.86,0,1,21,13,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Najibullah Zadran,Afghanistan,Middle order Batter,Left hand Bat,6,918,30.6,138.46,0,3,60,48,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Najmul Hossain Shanto,Bangladesh,Top order Batter,Left hand Bat,2,16,8.0,94.12,0,0,1,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Naman Ojha,India,Wicketkeeper Batter,Right hand Bat,2,12,6.0,44.44,0,0,2,0,,0,0,0.0,0.0,0.0,0,0
Narsingh Deonarine,West Indies,Batter,Left hand Bat,6,55,11.0,103.77,0,0,5,0,Right arm Offbreak,87,0,9.7,0.0,0.0,9,4
Nasir Hossain,Bangladesh,Allrounder,Right hand Bat,6,370,18.5,113.5,0,2,30,7,Right arm Offbreak,262,7,8.9,25.57,37.43,21,9
Nasir Jamshed,Pakistan,Opening Batter,Left hand Bat,2,363,21.35,113.44,0,2,34,12,,0,0,0.0,0.0,0.0,0,0
Nathan Coulter-Nile,Australia,Bowling Allrounder,Right hand Bat,8,132,13.2,118.92,0,0,9,8,Right arm Fast,802,34,8.3,17.12,23.59,84,26
Nathan Lyon,Australia,Bowler,Right hand Bat,11,4,0.0,100.0,0,0,0,0,Right arm Offbreak,48,1,9.6,30.0,48.0,5,2
Nathan McCullum,New Zealand,Bowler,Right hand Bat,8,256,11.64,101.99,0,0,17,7,Right arm Offbreak,1119,49,6.9,19.94,22.84,74,38
Nathan Reardon,Australia,Middle order Batter,Left hand Bat,5,4,4.0,50.0,0,0,0,0,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Natsai M'shangwe,Zimbabwe,Bowler,Right hand Bat,9,5,5.0,125.0,0,0,1,0,Legbreak,142,4,8.9,24.0,35.5,12,6
Nauman Anwar,Pakistan,Opening Batter,Right hand Bat,3,18,18.0,180.0,0,0,2,1,Right arm Medium fast,0,0,0.0,0.0,0.0,0,0
Navdeep Saini,India,Bowler,Right hand Bat,11,0,0.0,0.0,0,0,0,0,Right arm Fast,137,6,8.1,17.0,22.83,11,9
Naved-ul-Hasan,Pakistan,Bowler,Right hand Bat,8,1,1.0,11.11,0,0,0,0,Right arm Medium fast,27,1,6.8,24.0,27.0,1,0
Naveen-ul-Haq,Afghanistan,Bowler,Right hand Bat,10,7,7.0,100.0,0,0,1,0,Right arm Medium fast,102,7,6.8,12.86,14.57,8,2
Nawroz Mangal,Afghanistan,Top order Batter,Right hand Bat,3,505,18.04,111.48,0,2,42,19,Right arm Offbreak,80,4,8.3,15.0,20.0,4,4
Nazmul Hossain,Bangladesh,Bowler,Right hand Bat,11,0,0.0,0.0,0,0,0,0,Right arm Medium fast,52,0,10.4,0.0,0.0,7,0
Nazmul Islam,Bangladesh,Bowler,Left hand Bat,10,18,18.0,105.88,0,0,2,0,Slow Left arm Orthodox,265,8,6.9,28.75,33.12,14,13
Neil Broom,New Zealand,Middle order Batter,Right hand Bat,2,12,6.0,92.31,0,0,1,0,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Neville Madziva,Zimbabwe,Allrounder,Right hand Bat,8,88,17.6,110.0,0,0,4,5,Right arm Medium fast,417,12,9.0,23.42,34.75,42,10
Niall O'Brien,Ireland,Wicketkeeper Batter,Left hand Bat,3,313,17.39,103.64,0,1,28,3,,0,0,0.0,0.0,0.0,0,0
Nic Maddinson,Australia,Opening Batter,Left hand Bat,4,45,11.25,128.57,0,0,6,1,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Nicholas Pooran,West Indies,Wicketkeeper Batter,Left hand Bat,5,312,24.0,126.32,0,2,24,17,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Nigel Jones,Ireland,Allrounder,Right hand Bat,7,28,14.0,103.7,0,0,1,1,Right arm Medium,14,0,7.0,0.0,0.0,0,0
Nikita Miller,West Indies,Bowler,Right hand Bat,9,43,43.0,91.49,0,0,2,0,Slow Left arm Orthodox,202,9,7.4,18.44,22.44,8,10
Niroshan Dickwella,Sri Lanka,Wicketkeeper Batter,Left hand Bat,2,429,19.5,138.83,0,1,57,8,,0,0,0.0,0.0,0.0,0,0
Nkrumah Bonner,West Indies,Middle order Batter,Right hand Bat,4,27,13.5,71.05,0,0,2,0,Legbreak,18,0,9.0,0.0,0.0,0,1
Noor Ali Zadran,Afghanistan,Opening Batter,Right hand Bat,2,506,26.63,101.81,0,3,45,6,Right arm Medium fast,0,0,0.0,0.0,0.0,0,0
Nurul Hasan,Bangladesh,Wicketkeeper Batter,Right hand Bat,8,78,19.5,123.81,0,0,9,0,,0,0,0.0,0.0,0.0,0,0
Nuwan Kulasekara,Sri Lanka,Bowler,Right hand Bat,8,169,11.27,117.36,0,0,14,5,Right arm Fast medium,1197,58,7.2,17.31,20.64,124,28
Nuwan Pradeep,Sri Lanka,Bowler,Right hand Bat,11,10,10.0,66.67,0,0,1,0,Right arm Fast medium,407,15,9.3,17.67,27.13,40,14
Obed McCoy,West Indies,Bowler,Left hand Bat,11,11,11.0,110.0,0,0,1,1,Left arm Fast medium,44,1,14.7,18.0,44.0,5,2
Odean Smith,West Indies,Bowling Allrounder,Right hand Bat,10,6,6.0,120.0,0,0,1,0,Right arm Fast medium,78,2,11.1,21.0,39.0,9,2
Oshada Fernando,Sri Lanka,Top order Batter,Right hand Bat,5,97,48.5,132.88,0,1,10,3,Legbreak,0,0,0.0,0.0,0.0,0,0
Oshane Thomas,West Indies,Bowler,Left hand Bat,11,8,4.0,72.73,0,0,2,0,Right arm Fast,326,9,8.8,24.67,36.22,36,12
Parthiv Patel,India,Wicketkeeper Batter,Left hand Bat,1,36,18.0,112.5,0,0,4,1,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Parvez Rasool,India,Bowling Allrounder,Right hand Bat,8,5,5.0,83.33,0,0,0,0,Right arm Offbreak,32,1,8.0,24.0,32.0,1,2
Pat Brown,England,,,11,4,0.0,44.44,0,0,0,0,,128,3,9.8,26.0,42.67,8,7
Pat Cummins,Australia,Bowler,Right hand Bat,8,35,5.0,94.59,0,0,2,1,Right arm Fast,629,32,6.8,17.25,19.66,65,13
Paul Collingwood,England,Allrounder,Right hand Bat,4,119,11.9,96.75,0,0,4,5,Right arm Medium,47,0,9.4,0.0,0.0,1,4
Paul Stirling,Ireland,Batting Allrounder,Right hand Bat,2,1893,30.05,138.88,0,16,228,59,Right arm Offbreak,600,16,7.7,29.25,37.5,32,26
Peter Chase,Ireland,Bowler,Right hand Bat,11,7,7.0,53.85,0,0,1,0,Right arm Medium fast,416,15,10.0,16.73,27.73,45,16
Peter Connell,Ireland,Bowler,Right hand Bat,10,3,3.0,60.0,0,0,0,0,Right arm Medium fast,106,4,7.4,21.75,26.5,12,2
Peter Fulton,New Zealand,Top order Batter,Right hand Bat,2,9,9.0,69.23,0,0,2,0,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Peter Handscomb,Australia,Batter,Right hand Bat,5,33,33.0,100.0,0,0,1,0,,0,0,0.0,0.0,0.0,0,0
Peter Ingram,New Zealand,Top order Batter,Right hand Bat,2,22,11.0,62.86,0,0,3,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Peter McGlashan,New Zealand,Wicketkeeper Batter,Right hand Bat,7,38,19.0,122.58,0,0,5,2,,0,0,0.0,0.0,0.0,0,0
Peter Moor,Zimbabwe,,,5,364,24.27,127.27,0,1,22,24,,0,0,0.0,0.0,0.0,0,0
Peter Nevill,Australia,Wicketkeeper,Right hand Bat,8,25,25.0,227.27,0,0,1,2,,0,0,0.0,0.0,0.0,0,0
Phillip Hughes,Australia,Opening Batter,Left hand Bat,5,6,6.0,75.0,0,0,1,0,,0,0,0.0,0.0,0.0,0,0
Piyush Chawla,India,Bowling Allrounder,Left hand Bat,9,0,0.0,0.0,0,0,0,0,Legbreak,151,4,6.6,34.5,37.75,10,5
