Player Name,Team Name,Playing Role,Batting Style,Batting Position,Runs_Scored,Batting Average,Strike_rate,Total_hundreds,Total_fifties,Fours_Scored,Sixes_scored,Bowling Style,Runs_Conceded,Total_Wickets_Taken,Economy,Bowling Strike Rate,Bowling Average,Fours_Conceded,Sixes_Conceded
Dinesh Chandimal,Sri Lanka,Wicketkeeper Batter,Right hand Bat,3,800,18.6,104.44,0,4,73,16,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Dinesh Karthik,India,Wicketkeeper Batter,Right hand Bat,5,328,46.86,153.27,0,0,32,14,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Dirk Nannes,Australia,Bowler,Right hand Bat,10,16,16.0,145.45,0,0,1,1,Left arm Fast,403,27,7.6,11.78,14.93,44,13
Donald Tiripano,Zimbabwe,Bowler,Right hand Bat,9,29,7.25,85.29,0,0,0,2,Right arm Fast medium,278,11,8.2,18.82,25.27,28,5
Doug Bollinger,Australia,Bowler,Left hand Bat,11,1,0.0,100.0,0,0,0,0,Left arm Fast medium,249,9,7.1,23.33,27.67,33,3
Doug Bracewell,New Zealand,Bowler,Right hand Bat,9,121,24.2,145.78,0,0,6,9,Right arm Fast medium,437,20,9.3,14.1,21.85,43,22
Dushmantha Chameera,Sri Lanka,Bowler,Right hand Bat,10,31,7.75,77.5,0,0,3,0,Right arm Fast,574,16,8.6,25.19,35.88,52,20
Dwaine Pretorius,South Africa,Bowling Allrounder,Right hand Bat,4,87,0.0,177.55,0,1,7,4,Right arm Medium fast,116,3,8.3,28.0,38.67,10,3
Dwayne Bravo,West Indies,Allrounder,Right hand Bat,5,903,24.41,112.31,0,2,51,38,Right arm Medium,1121,38,8.3,21.42,29.5,83,37
Dwayne Smith,West Indies,Allrounder,Right hand Bat,2,533,19.74,118.44,0,3,59,27,Right arm Medium,104,2,10.2,30.5,52.0,10,5
Ed Joyce,Ireland,Top order Batter,Left hand Bat,3,387,38.7,94.62,0,1,27,5,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Ed Rainsford,Zimbabwe,Bowler,Right hand Bat,10,1,0.0,50.0,0,0,0,0,Right arm Fast medium,67,0,11.2,0.0,0.0,6,4
Elias Sunny,Bangladesh,Bowler,Left hand Bat,10,9,4.5,100.0,0,0,1,0,Slow Left arm Orthodox,146,9,6.3,15.33,16.22,12,5
Elton Chigumbura,Zimbabwe,Allrounder,Right hand Bat,6,772,20.32,142.96,0,3,53,46,Right arm Fast medium,265,5,10.2,31.2,53.0,22,11
Eoin Morgan,England,Middle order Batter,Left hand Bat,4,1856,29.0,134.69,0,10,137,91,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Evin Lewis,West Indies,Opening Batter,Left hand Bat,2,826,31.77,153.53,2,5,53,67,,0,0,0.0,0.0,0.0,0,0
Fabian Allen,West Indies,Bowling Allrounder,Right hand Bat,8,64,9.14,114.29,0,0,5,3,Slow Left arm Orthodox,214,9,6.9,20.67,23.78,13,7
Faf du Plessis,South Africa,Middle order Batter,Right hand Bat,3,1301,37.17,135.38,1,8,121,42,Legbreak,3,0,2.5,0.0,0.0,0,0
Faheem Ashraf,Pakistan,Bowling Allrounder,Left hand Bat,7,133,11.08,120.91,0,0,7,8,Right arm Medium,557,24,7.5,18.62,23.21,45,25
Fakhar Zaman,Pakistan,Opening Batter,Left hand Bat,2,756,23.62,136.96,0,4,86,22,Slow Left arm Orthodox,12,0,12.0,0.0,0.0,1,1
Fareed Ahmad,Afghanistan,Bowler,Left hand Bat,9,24,0.0,160.0,0,0,4,0,Left arm Fast medium,405,18,8.5,15.94,22.5,45,13
Farhaan Behardien,South Africa,Batting Allrounder,Right hand Bat,6,518,32.38,128.22,0,1,37,16,Right arm Fast medium,27,3,5.4,10.0,9.0,1,1
Farhad Reza,Bangladesh,Allrounder,Right hand Bat,8,22,5.5,70.97,0,0,1,0,Right arm Fast medium,96,2,8.7,33.0,48.0,9,2
Farveez Maharoof,Sri Lanka,Allrounder,Right hand Bat,9,10,10.0,62.5,0,0,0,0,Right arm Fast medium,26,0,8.7,0.0,0.0,0,1
Fawad Ahmed,Australia,Bowler,Right hand Bat,11,3,0.0,60.0,0,0,0,0,Legbreak Googly,68,3,8.5,16.0,22.67,6,1
Fawad Alam,Pakistan,Top order Batter,Left hand Bat,6,98,12.25,95.15,0,0,4,2,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Fazal Niazai,Afghanistan,,,7,12,12.0,80.0,0,0,1,0,,13,0,13.0,0.0,0.0,2,0
Fidel Edwards,West Indies,Bowler,Right hand Bat,11,7,7.0,140.0,0,0,1,0,Right arm Fast,166,5,8.2,24.6,33.2,16,4
Forster Mutizwa,Zimbabwe,Wicketkeeper Batter,Right hand Bat,4,38,12.67,105.56,0,0,3,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Gareth Delany,Ireland,Batting Allrounder,Right hand Bat,4,314,26.17,152.43,0,2,28,12,Legbreak Googly,391,16,7.4,19.88,24.44,27,17
Gareth Hopkins,New Zealand,Wicketkeeper Batter,Right hand Bat,6,80,11.43,131.15,0,0,5,5,,0,0,0.0,0.0,0.0,0,0
Garey Mathurin,West Indies,Allrounder,Left hand Bat,10,4,0.0,80.0,0,0,0,0,Slow Left arm Orthodox,65,4,6.5,15.0,16.25,1,5
Gary Kidd,Ireland,Bowler,Left hand Bat,10,1,0.0,100.0,0,0,0,0,Slow Left arm Orthodox,32,0,10.7,0.0,0.0,3,1
Gary Wilson,Ireland,Wicketkeeper Batter,Right hand Bat,5,1145,22.9,108.22,0,3,98,19,,0,0,0.0,0.0,0.0,0,0
Gautam Gambhir,India,Top order Batter,Left hand Bat,1,380,23.75,110.14,0,1,43,2,Legbreak,0,0,0.0,0.0,0.0,0,0
George Bailey,Australia,Top order Batter,Right hand Bat,5,470,26.11,140.72,0,2,37,20,Right arm Medium,0,0,0.0,0.0,0.0,0,0
George Dockrell,Ireland,Allrounder,Right hand Bat,9,251,13.21,121.26,0,0,14,7,Slow Left arm Orthodox,1502,74,7.0,17.41,20.3,88,58
George Worker,New Zealand,Batting Allrounder,Left hand Bat,3,90,45.0,140.62,0,1,6,5,Slow Left arm Orthodox,19,1,9.5,12.0,19.0,3,0
Gihahn Cloete,South Africa,Wicketkeeper Batter,Left hand Bat,2,15,7.5,100.0,0,0,2,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Glenn Maxwell,Australia,Batting Allrounder,Right hand Bat,4,1557,35.39,161.68,3,7,132,81,Right arm Offbreak,704,26,7.5,21.69,27.08,55,21
Glenn Phillips,New Zealand,Wicketkeeper Batter,Right hand Bat,3,130,16.25,96.3,0,1,9,4,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Graeme Cremer,Zimbabwe,Bowler,Right hand Bat,8,68,5.23,66.67,0,0,2,0,Legbreak Googly,650,33,7.1,16.73,19.7,35,27
Graeme Smith,South Africa,Opening Batter,Left hand Bat,1,340,26.15,121.43,0,1,39,8,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Graeme Swann,England,,,9,64,21.33,114.29,0,0,7,1,,630,39,6.1,15.85,16.15,26,22
Grant Elliott,New Zealand,Allrounder,Right hand Bat,6,134,13.4,112.61,0,0,9,2,Right arm Medium,207,13,7.1,13.38,15.92,14,7
Greg Lamb,Zimbabwe,Allrounder,Right hand Bat,7,32,16.0,59.26,0,0,1,0,Right arm Offbreak,80,4,6.6,18.25,20.0,2,5
Greg Thompson,Ireland,Bowler,Right hand Bat,6,107,15.29,99.07,0,0,14,1,Legbreak,0,0,0.0,0.0,0.0,0,0
Gulbadin Naib,Afghanistan,Batting Allrounder,Right hand Bat,6,472,17.48,120.1,0,1,33,22,Right arm Medium fast,560,16,8.3,25.44,35.0,45,14
Hamid Hassan,Afghanistan,Bowler,Right hand Bat,9,50,16.67,108.7,0,0,3,2,Right arm Fast,523,32,6.7,14.78,16.34,50,7
Hamilton Masakadza,Zimbabwe,Top order Batter,Right hand Bat,2,1404,24.63,114.33,0,9,126,56,Right arm Medium,88,1,9.8,54.0,88.0,8,5
Hamish Rutherford,New Zealand,Opening Batter,Left hand Bat,2,151,21.57,143.81,0,1,12,9,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Hammad Azam,Pakistan,Middle order Batter,Right hand Bat,7,34,11.33,100.0,0,0,3,1,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Harbhajan Singh,India,Bowler,Right hand Bat,8,51,17.0,154.55,0,0,4,3,Right arm Offbreak,240,9,5.7,28.0,26.67,9,9
Hardik Pandya,India,Allrounder,Right hand Bat,6,310,16.32,147.62,0,0,18,19,Right arm Medium fast,976,38,8.4,18.45,25.68,79,35
Haris Sohail,Pakistan,Middle order Batter,Left hand Bat,4,206,20.6,104.04,0,2,15,3,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Harry Tector,Ireland,Middle order Batter,Right hand Bat,5,233,25.89,132.39,0,1,20,5,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Hasan Ali,Pakistan,Bowler,Right hand Bat,9,61,12.2,174.29,0,0,3,5,Right arm Medium fast,877,35,8.5,17.74,25.06,86,31
Hashim Amla,South Africa,Top order Batter,Right hand Bat,2,1059,31.15,131.88,0,7,122,22,"Right arm Medium, Right arm Offbreak",0,0,0.0,0.0,0.0,0,0
Hashmatullah Shahidi,Afghanistan,Top order Batter,Left hand Bat,8,1,0.0,100.0,0,0,0,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
