Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota,"Aug 16, 2011",ODI # 3180
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo,"Aug 19, 2011",ODI # 3181
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Aug 20, 2011",ODI # 3182
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo,"Aug 21, 2011",ODI # 3183
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 22, 2011",ODI # 3184
Ireland vs England,Ireland,England,England,11 runs,Dublin,"Aug 25, 2011",ODI # 3185
England vs India,England,India,England,7 wickets,Southampton,"Sep 6, 2011",ODI # 3187
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,Pakistan,5 runs,Bulawayo,"Sep 8, 2011",ODI # 3188
England vs India,England,India,England,3 wickets,The Oval,"Sep 9, 2011",ODI # 3189
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,Pakistan,10 wickets,Harare,"Sep 11, 2011",ODI # 3190
England vs India,England,India,tied,,Lord's,"Sep 11, 2011",ODI # 3191
Netherlands vs Kenya,Netherlands,Kenya,Netherlands,2 wickets,The Hague,"Sep 12, 2011",ODI # 3192
Netherlands vs Kenya,Netherlands,Kenya,Netherlands,4 wickets,The Hague,"Sep 13, 2011",ODI # 3193
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,Pakistan,28 runs,Harare,"Sep 14, 2011",ODI # 3194
England vs India,England,India,England,6 wickets,Cardiff,"Sep 16, 2011",ODI # 3195
Ireland vs Canada,Ireland,Canada,Ireland,133 runs,Dublin,"Sep 19, 2011",ODI # 3196
Ireland vs Canada,Ireland,Canada,Ireland,56 runs,Dublin,"Sep 20, 2011",ODI # 3197
Bangladesh vs West Indies,Bangladesh,West Indies,West Indies,40 runs,Mirpur,"Oct 13, 2011",ODI # 3198
India vs England,India,England,India,126 runs,Hyderabad,"Oct 14, 2011",ODI # 3199
Bangladesh vs West Indies,Bangladesh,West Indies,West Indies,8 wickets,Mirpur,"Oct 15, 2011",ODI # 3200
India vs England,India,England,India,8 wickets,Delhi,"Oct 17, 2011",ODI # 3201
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,8 wickets,Chattogram,"Oct 18, 2011",ODI # 3202
South Africa vs Australia,South Africa,Australia,Australia,93 runs,Centurion,"Oct 19, 2011",ODI # 3203
Zimbabwe vs New Zealand,Zimbabwe,New Zealand,New Zealand,9 wickets,Harare,"Oct 20, 2011",ODI # 3204
India vs England,India,England,India,5 wickets,Mohali,"Oct 20, 2011",ODI # 3205
Zimbabwe vs New Zealand,Zimbabwe,New Zealand,New Zealand,4 wickets,Harare,"Oct 22, 2011",ODI # 3206
India vs England,India,England,India,6 wickets,Wankhede,"Oct 23, 2011",ODI # 3207
South Africa vs Australia,South Africa,Australia,South Africa,80 runs,Gqeberha,"Oct 23, 2011",ODI # 3208
Zimbabwe vs New Zealand,Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo,"Oct 25, 2011",ODI # 3209
India vs England,India,England,India,95 runs,Eden Gardens,"Oct 25, 2011",ODI # 3210
South Africa vs Australia,South Africa,Australia,Australia,3 wickets,Durban,"Oct 28, 2011",ODI # 3211
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC),"Nov 11, 2011",ODI # 3212
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC),"Nov 14, 2011",ODI # 3213
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC),"Nov 18, 2011",ODI # 3214
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah,"Nov 20, 2011",ODI # 3215
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi,"Nov 23, 2011",ODI # 3216
India vs West Indies,India,West Indies,India,1 wicket,Cuttack,"Nov 29, 2011",ODI # 3217
Bangladesh vs Pakistan,Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,"Dec 1, 2011",ODI # 3218
India vs West Indies,India,West Indies,India,5 wickets,Visakhapatnam,"Dec 2, 2011",ODI # 3219
Bangladesh vs Pakistan,Bangladesh,Pakistan,Pakistan,76 runs,Mirpur,"Dec 3, 2011",ODI # 3220
India vs West Indies,India,West Indies,West Indies,16 runs,Ahmedabad,"Dec 5, 2011",ODI # 3221
Bangladesh vs Pakistan,Bangladesh,Pakistan,Pakistan,58 runs,Chattogram,"Dec 6, 2011",ODI # 3222
India vs West Indies,India,West Indies,India,153 runs,Indore,"Dec 8, 2011",ODI # 3223
India vs West Indies,India,West Indies,India,34 runs,Chennai,"Dec 11, 2011",ODI # 3224
South Africa vs Sri Lanka,South Africa,Sri Lanka,South Africa,258 runs,Paarl,"Jan 11, 2012",ODI # 3225
South Africa vs Sri Lanka,South Africa,Sri Lanka,South Africa,5 wickets,East London,"Jan 14, 2012",ODI # 3226
South Africa vs Sri Lanka,South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,"Jan 17, 2012",ODI # 3227
South Africa vs Sri Lanka,South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,"Jan 20, 2012",ODI # 3228
South Africa vs Sri Lanka,South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,"Jan 22, 2012",ODI # 3229
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,"Feb 3, 2012",ODI # 3230
Australia vs India,Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012",ODI # 3231
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,"Feb 6, 2012",ODI # 3232
India vs Sri Lanka,India,Sri Lanka,India,4 wickets,Perth,"Feb 8, 2012",ODI # 3233
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,202 runs,Napier,"Feb 9, 2012",ODI # 3234
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,5 runs,Perth,"Feb 10, 2012",ODI # 3235
Afghanistan vs Pakistan,Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,"Feb 10, 2012",ODI # 3236
Australia vs India,Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012",ODI # 3237
England vs Pakistan,England,Pakistan,England,130 runs,Abu Dhabi,"Feb 13, 2012",ODI # 3238
India vs Sri Lanka,India,Sri Lanka,tied,,Adelaide,"Feb 14, 2012",ODI # 3239
England vs Pakistan,England,Pakistan,England,20 runs,Abu Dhabi,"Feb 15, 2012",ODI # 3240
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,"Feb 17, 2012",ODI # 3241
Kenya vs Ireland,Kenya,Ireland,Kenya,7 wickets,Mombasa,"Feb 18, 2012",ODI # 3242
England vs Pakistan,England,Pakistan,England,9 wickets,Dubai (DSC),"Feb 18, 2012",ODI # 3243
Australia vs India,Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012",ODI # 3244
Kenya vs Ireland,Kenya,Ireland,Ireland,117 runs,Mombasa,"Feb 20, 2012",ODI # 3245
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,51 runs,Brisbane,"Feb 21, 2012",ODI # 3246
England vs Pakistan,England,Pakistan,England,4 wickets,Dubai (DSC),"Feb 21, 2012",ODI # 3247
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,"Feb 24, 2012",ODI # 3248
New Zealand vs South Africa,New Zealand,South Africa,South Africa,6 wickets,Wellington,"Feb 25, 2012",ODI # 3249
Australia vs India,Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012",ODI # 3250
India vs Sri Lanka,India,Sri Lanka,India,7 wickets,Hobart,"Feb 28, 2012",ODI # 3251
New Zealand vs South Africa,New Zealand,South Africa,South Africa,6 wickets,Napier,"Feb 29, 2012",ODI # 3252
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,"Mar 2, 2012",ODI # 3253
New Zealand vs South Africa,New Zealand,South Africa,South Africa,5 wickets,Auckland,"Mar 3, 2012",ODI # 3254
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,15 runs,Brisbane,"Mar 4, 2012",ODI # 3255
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Mar 6, 2012",ODI # 3256
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,16 runs,Adelaide,"Mar 8, 2012",ODI # 3257
Bangladesh vs Pakistan,Bangladesh,Pakistan,Pakistan,21 runs,Mirpur,"Mar 11, 2012",ODI # 3258
India vs Sri Lanka,India,Sri Lanka,India,50 runs,Mirpur,"Mar 13, 2012",ODI # 3259
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur,"Mar 15, 2012",ODI # 3260
Bangladesh vs India,Bangladesh,India,Bangladesh,5 wickets,Mirpur,"Mar 16, 2012",ODI # 3261
West Indies vs Australia,West Indies,Australia,Australia,64 runs,Kingstown,"Mar 16, 2012",ODI # 3262
India vs Pakistan,India,Pakistan,India,6 wickets,Mirpur,"Mar 18, 2012",ODI # 3263
West Indies vs Australia,West Indies,Australia,West Indies,5 wickets,Kingstown,"Mar 18, 2012",ODI # 3264
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Mirpur,"Mar 20, 2012",ODI # 3265
West Indies vs Australia,West Indies,Australia,tied,,Kingstown,"Mar 20, 2012",ODI # 3266
Bangladesh vs Pakistan,Bangladesh,Pakistan,Pakistan,2 runs,Mirpur,"Mar 22, 2012",ODI # 3267
West Indies vs Australia,West Indies,Australia,West Indies,42 runs,Gros Islet,"Mar 23, 2012",ODI # 3268
West Indies vs Australia,West Indies,Australia,Australia,30 runs,Gros Islet,"Mar 25, 2012",ODI # 3269
Afghanistan vs Netherlands,Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah,"Mar 29, 2012",ODI # 3270
Afghanistan vs Netherlands,Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah,"Mar 31, 2012",ODI # 3271
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele,"Jun 7, 2012",ODI # 3272
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele,"Jun 9, 2012",ODI # 3273
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS),"Jun 16, 2012",ODI # 3275
England vs West Indies,England,West Indies,England,114 runs,Southampton,"Jun 16, 2012",ODI # 3276
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS),"Jun 18, 2012",ODI # 3277
England vs West Indies,England,West Indies,England,8 wickets,The Oval,"Jun 19, 2012",ODI # 3278
England vs Australia,England,Australia,England,15 runs,Lord's,"Jun 29, 2012",ODI # 3280
England vs Australia,England,Australia,England,6 wickets,The Oval,"Jul 1, 2012",ODI # 3281
Ireland vs Afghanistan,Ireland,Afghanistan,Ireland,59 runs,Dublin,"Jul 5, 2012",ODI # 3282
West Indies vs New Zealand,West Indies,New Zealand,West Indies,9 wickets,Kingston,"Jul 5, 2012",ODI # 3283
England vs Australia,England,Australia,England,8 wickets,Chester-le-Street,"Jul 7, 2012",ODI # 3284
West Indies vs New Zealand,West Indies,New Zealand,West Indies,55 runs,Kingston,"Jul 7, 2012",ODI # 3285
England vs Australia,England,Australia,England,7 wickets,Manchester,"Jul 10, 2012",ODI # 3286
Scotland vs Canada,Scotland,Canada,Scotland,4 wickets,Ayr,"Jul 11-12, 2012",ODI # 3287
West Indies vs New Zealand,West Indies,New Zealand,New Zealand,88 runs,Basseterre,"Jul 11, 2012",ODI # 3288
West Indies vs New Zealand,West Indies,New Zealand,West Indies,24 runs,Basseterre,"Jul 14, 2012",ODI # 3289
West Indies vs New Zealand,West Indies,New Zealand,West Indies,20 runs,Basseterre,"Jul 16, 2012",ODI # 3290
Sri Lanka vs India,Sri Lanka,India,India,21 runs,Hambantota,"Jul 21, 2012",ODI # 3291
Sri Lanka vs India,Sri Lanka,India,Sri Lanka,9 wickets,Hambantota,"Jul 24, 2012",ODI # 3292
Sri Lanka vs India,Sri Lanka,India,India,5 wickets,Colombo (RPS),"Jul 28, 2012",ODI # 3293
Sri Lanka vs India,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Jul 31, 2012",ODI # 3294
Sri Lanka vs India,Sri Lanka,India,India,20 runs,Pallekele,"Aug 4, 2012",ODI # 3295
Afghanistan vs Australia,Afghanistan,Australia,Australia,66 runs,Sharjah,"Aug 25, 2012",ODI # 3297
England vs South Africa,England,South Africa,South Africa,80 runs,Southampton,"Aug 28, 2012",ODI # 3298
Australia vs Pakistan,Australia,Pakistan,Australia,4 wickets,Sharjah,"Aug 28, 2012",ODI # 3299
England vs South Africa,England,South Africa,England,4 wickets,The Oval,"Aug 31, 2012",ODI # 3300
Australia vs Pakistan,Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,"Aug 31, 2012",ODI # 3301
England vs South Africa,England,South Africa,England,6 wickets,Lord's,"Sep 2, 2012",ODI # 3302
Australia vs Pakistan,Australia,Pakistan,Australia,3 wickets,Sharjah,"Sep 3, 2012",ODI # 3303
England vs South Africa,England,South Africa,South Africa,7 wickets,Nottingham,"Sep 5, 2012",ODI # 3304
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,Sri Lanka,14 runs,Pallekele,"Nov 4, 2012",ODI # 3305
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Pallekele,"Nov 6, 2012",ODI # 3306
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Hambantota,"Nov 10, 2012",ODI # 3307
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,7 wickets,Khulna,"Nov 30, 2012",ODI # 3309
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,160 runs,Khulna,"Dec 2, 2012",ODI # 3310
Bangladesh vs West Indies,Bangladesh,West Indies,West Indies,4 wickets,Mirpur,"Dec 5, 2012",ODI # 3311
Bangladesh vs West Indies,Bangladesh,West Indies,West Indies,75 runs,Mirpur,"Dec 7, 2012",ODI # 3312
Bangladesh vs West Indies,Bangladesh,West Indies,Bangladesh,2 wickets,Mirpur,"Dec 8, 2012",ODI # 3313
India vs Pakistan,India,Pakistan,Pakistan,6 wickets,Chennai,"Dec 30, 2012",ODI # 3314
India vs Pakistan,India,Pakistan,Pakistan,85 runs,Eden Gardens,"Jan 3, 2013",ODI # 3315
India vs Pakistan,India,Pakistan,India,10 runs,Delhi,"Jan 6, 2013",ODI # 3316
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,107 runs,Melbourne,"Jan 11, 2013",ODI # 3317
India vs England,India,England,England,9 runs,Rajkot,"Jan 11, 2013",ODI # 3318
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Jan 13, 2013",ODI # 3319
India vs England,India,England,India,127 runs,Kochi,"Jan 15, 2013",ODI # 3320
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane,"Jan 18, 2013",ODI # 3321
India vs England,India,England,India,7 wickets,Ranchi,"Jan 19, 2013",ODI # 3322
South Africa vs New Zealand,South Africa,New Zealand,New Zealand,1 wicket,Paarl,"Jan 19, 2013",ODI # 3323
South Africa vs New Zealand,South Africa,New Zealand,New Zealand,27 runs,Kimberley,"Jan 22, 2013",ODI # 3325
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,32 runs,Hobart,"Jan 23, 2013",ODI # 3326
India vs England,India,England,India,5 wickets,Mohali,"Jan 23, 2013",ODI # 3327
South Africa vs New Zealand,South Africa,New Zealand,South Africa,1 wicket,Potchefstroom,"Jan 25, 2013",ODI # 3328
India vs England,India,England,England,7 wickets,Dharamsala,"Jan 27, 2013",ODI # 3329
Australia vs West Indies,Australia,West Indies,Australia,9 wickets,Perth,"Feb 1, 2013",ODI # 3330
Australia vs West Indies,Australia,West Indies,Australia,54 runs,Perth,"Feb 3, 2013",ODI # 3331
Australia vs West Indies,Australia,West Indies,Australia,39 runs,Canberra,"Feb 6, 2013",ODI # 3332
Australia vs West Indies,Australia,West Indies,Australia,5 wickets,Sydney,"Feb 8, 2013",ODI # 3333
Australia vs West Indies,Australia,West Indies,Australia,17 runs,Melbourne,"Feb 10, 2013",ODI # 3334
New Zealand vs England,New Zealand,England,New Zealand,3 wickets,Hamilton,"Feb 17, 2013",ODI # 3335
New Zealand vs England,New Zealand,England,England,8 wickets,Napier,"Feb 20, 2013",ODI # 3336
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,156 runs,St George's,"Feb 22, 2013",ODI # 3337
New Zealand vs England,New Zealand,England,England,5 wickets,Auckland,"Feb 23, 2013",ODI # 3338
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,7 wickets,St George's,"Feb 24, 2013",ODI # 3339
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,5 wickets,St George's,"Feb 26, 2013",ODI # 3340
Afghanistan vs Scotland,Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,"Mar 6, 2013",ODI # 3341
Afghanistan vs Scotland,Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah,"Mar 8, 2013",ODI # 3342
South Africa vs Pakistan,South Africa,Pakistan,South Africa,125 runs,Bloemfontein,"Mar 10, 2013",ODI # 3343
Canada vs Kenya,Canada,Kenya,Kenya,6 wickets,ICCA Dubai,"Mar 11, 2013",ODI # 3344
Canada vs Kenya,Canada,Kenya,Kenya,6 wickets,ICCA Dubai,"Mar 13, 2013",ODI # 3345
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,6 wickets,Centurion,"Mar 15, 2013",ODI # 3346
South Africa vs Pakistan,South Africa,Pakistan,South Africa,34 runs,Johannesburg,"Mar 17, 2013",ODI # 3347
South Africa vs Pakistan,South Africa,Pakistan,Pakistan,3 wickets,Durban,"Mar 21, 2013",ODI # 3348
Sri Lanka vs Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,"Mar 23, 2013",ODI # 3349
South Africa vs Pakistan,South Africa,Pakistan,South Africa,6 wickets,Benoni,"Mar 24, 2013",ODI # 3350
Sri Lanka vs Bangladesh,Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele,"Mar 28, 2013",ODI # 3352
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo,"May 3, 2013",ODI # 3353
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo,"May 5, 2013",ODI # 3354
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo,"May 8, 2013",ODI # 3355
Scotland vs Pakistan,Scotland,Pakistan,Pakistan,96 runs,Edinburgh,"May 17, 2013",ODI # 3356
Ireland vs Pakistan,Ireland,Pakistan,tied,,Dublin,"May 23, 2013",ODI # 3357
Ireland vs Pakistan,Ireland,Pakistan,Pakistan,2 wickets,Dublin,"May 26, 2013",ODI # 3358
Netherlands vs South Africa,Netherlands,South Africa,South Africa,83 runs,Amstelveen,"May 31, 2013",ODI # 3359
England vs New Zealand,England,New Zealand,New Zealand,5 wickets,Lord's,"May 31, 2013",ODI # 3360
England vs New Zealand,England,New Zealand,New Zealand,86 runs,Southampton,"Jun 2, 2013",ODI # 3361
England vs New Zealand,England,New Zealand,England,34 runs,Nottingham,"Jun 5, 2013",ODI # 3362
India vs South Africa,India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013",ODI # 3363
Pakistan vs West Indies,Pakistan,West Indies,West Indies,2 wickets,The Oval,"Jun 7, 2013",ODI # 3364
England vs Australia,England,Australia,England,48 runs,Birmingham,"Jun 8, 2013",ODI # 3365
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,1 wicket,Cardiff,"Jun 9, 2013",ODI # 3366
Pakistan vs South Africa,Pakistan,South Africa,South Africa,67 runs,Birmingham,"Jun 10, 2013",ODI # 3367
India vs West Indies,India,West Indies,India,8 wickets,The Oval,"Jun 11, 2013",ODI # 3368
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 13, 2013",ODI # 3370
South Africa vs West Indies,South Africa,West Indies,tied,,Cardiff,"Jun 14, 2013",ODI # 3371
India vs Pakistan,India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013",ODI # 3372
England vs New Zealand,England,New Zealand,England,10 runs,Cardiff,"Jun 16, 2013",ODI # 3373
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,20 runs,The Oval,"Jun 17, 2013",ODI # 3374
England vs South Africa,England,South Africa,England,7 wickets,The Oval,"Jun 19, 2013",ODI # 3375
India vs Sri Lanka,India,Sri Lanka,India,8 wickets,Cardiff,"Jun 20, 2013",ODI # 3376
England vs India,England,India,India,5 runs,Birmingham,"Jun 23, 2013",ODI # 3377
West Indies vs Sri Lanka,West Indies,Sri Lanka,West Indies,6 wickets,Kingston,"Jun 28, 2013",ODI # 3378
Scotland vs Kenya,Scotland,Kenya,Scotland,12 runs,Aberdeen,"Jun 30, 2013",ODI # 3379
West Indies vs India,West Indies,India,West Indies,1 wicket,Kingston,"Jun 30, 2013",ODI # 3380
Scotland vs Kenya,Scotland,Kenya,Scotland,4 wickets,Aberdeen,"Jul 2-3, 2013",ODI # 3381
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,161 runs,Kingston,"Jul 2, 2013",ODI # 3382
West Indies vs India,West Indies,India,India,102 runs,Port of Spain,"Jul 5, 2013",ODI # 3383
Netherlands vs Ireland,Netherlands,Ireland,Ireland,88 runs,Amstelveen,"Jul 7, 2013",ODI # 3384
West Indies vs Sri Lanka,West Indies,Sri Lanka,Sri Lanka,39 runs,Port of Spain,"Jul 7-8, 2013",ODI # 3385
Netherlands vs Ireland,Netherlands,Ireland,tied,,Amstelveen,"Jul 9, 2013",ODI # 3386
India vs Sri Lanka,India,Sri Lanka,India,81 runs,Port of Spain,"Jul 9, 2013",ODI # 3387
India vs Sri Lanka,India,Sri Lanka,India,1 wicket,Port of Spain,"Jul 11, 2013",ODI # 3388
West Indies vs Pakistan,West Indies,Pakistan,Pakistan,126 runs,Providence,"Jul 14, 2013",ODI # 3389
West Indies vs Pakistan,West Indies,Pakistan,West Indies,37 runs,Providence,"Jul 16, 2013",ODI # 3390
West Indies vs Pakistan,West Indies,Pakistan,tied,,Gros Islet,"Jul 19, 2013",ODI # 3391
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,180 runs,Colombo (RPS),"Jul 20, 2013",ODI # 3392
West Indies vs Pakistan,West Indies,Pakistan,Pakistan,6 wickets,Gros Islet,"Jul 21, 2013",ODI # 3393
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,17 runs,Colombo (RPS),"Jul 23, 2013",ODI # 3394
Zimbabwe vs India,Zimbabwe,India,India,6 wickets,Harare,"Jul 24, 2013",ODI # 3395
West Indies vs Pakistan,West Indies,Pakistan,Pakistan,4 wickets,Gros Islet,"Jul 24, 2013",ODI # 3396
Zimbabwe vs India,Zimbabwe,India,India,58 runs,Harare,"Jul 26, 2013",ODI # 3397
Sri Lanka vs South Africa,Sri Lanka,South Africa,South Africa,56 runs,Pallekele,"Jul 26, 2013",ODI # 3398
Zimbabwe vs India,Zimbabwe,India,India,7 wickets,Harare,"Jul 28, 2013",ODI # 3399
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,8 wickets,Pallekele,"Jul 28, 2013",ODI # 3400
Sri Lanka vs South Africa,Sri Lanka,South Africa,Sri Lanka,128 runs,Colombo (RPS),"Jul 31, 2013",ODI # 3401
Zimbabwe vs India,Zimbabwe,India,India,9 wickets,Bulawayo,"Aug 1, 2013",ODI # 3402
Zimbabwe vs India,Zimbabwe,India,India,7 wickets,Bulawayo,"Aug 3, 2013",ODI # 3403
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,Zimbabwe,7 wickets,Harare,"Aug 27, 2013",ODI # 3404
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,Pakistan,90 runs,Harare,"Aug 29, 2013",ODI # 3406
Canada vs Netherlands,Canada,Netherlands,Netherlands,9 wickets,King City (NW),"Aug 29, 2013",ODI # 3407
Zimbabwe vs Pakistan,Zimbabwe,Pakistan,Pakistan,108 runs,Harare,"Aug 31, 2013",ODI # 3408
Ireland vs England,Ireland,England,England,6 wickets,Dublin (Malahide),"Sep 3, 2013",ODI # 3409
Scotland vs Australia,Scotland,Australia,Australia,200 runs,Edinburgh,"Sep 3, 2013",ODI # 3410
Ireland vs Scotland,Ireland,Scotland,Ireland,1 wicket,Belfast,"Sep 6, 2013",ODI # 3411
England vs Australia,England,Australia,Australia,88 runs,Manchester,"Sep 8, 2013",ODI # 3412
Ireland vs Scotland,Ireland,Scotland,Ireland,7 wickets,Belfast,"Sep 8, 2013",ODI # 3413
England vs Australia,England,Australia,England,3 wickets,Cardiff,"Sep 14, 2013",ODI # 3415
England vs Australia,England,Australia,Australia,49 runs,Southampton,"Sep 16, 2013",ODI # 3416
Afghanistan vs Kenya,Afghanistan,Kenya,Afghanistan,8 wickets,Sharjah,"Oct 2, 2013",ODI # 3417
Afghanistan vs Kenya,Afghanistan,Kenya,Afghanistan,7 wickets,Sharjah,"Oct 4, 2013",ODI # 3418
India vs Australia,India,Australia,Australia,72 runs,Pune,"Oct 13, 2013",ODI # 3419
India vs Australia,India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",ODI # 3420
India vs Australia,India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",ODI # 3421
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,43 runs,Mirpur,"Oct 29, 2013",ODI # 3423
India vs Australia,India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013",ODI # 3424
Pakistan vs South Africa,Pakistan,South Africa,South Africa,1 run,Sharjah,"Oct 30, 2013",ODI # 3425
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,40 runs,Mirpur,"Oct 31, 2013",ODI # 3426
Pakistan vs South Africa,Pakistan,South Africa,Pakistan,66 runs,Dubai (DSC),"Nov 1, 2013",ODI # 3427
India vs Australia,India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013",ODI # 3428
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,4 wickets,Fatullah,"Nov 3, 2013",ODI # 3429
Pakistan vs South Africa,Pakistan,South Africa,South Africa,68 runs,Abu Dhabi,"Nov 6, 2013",ODI # 3430
Pakistan vs South Africa,Pakistan,South Africa,South Africa,28 runs,Abu Dhabi,"Nov 8, 2013",ODI # 3431
Pakistan vs South Africa,Pakistan,South Africa,South Africa,117 runs,Sharjah,"Nov 11, 2013",ODI # 3433
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,New Zealand,4 wickets,Hambantota,"Nov 12, 2013",ODI # 3434
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,Sri Lanka,36 runs,Dambulla,"Nov 16, 2013",ODI # 3435
India vs West Indies,India,West Indies,India,6 wickets,Kochi,"Nov 21, 2013",ODI # 3436
India vs West Indies,India,West Indies,West Indies,2 wickets,Visakhapatnam,"Nov 24, 2013",ODI # 3437
