Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
Sri Lanka vs India,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,"Jun 22, 2010",ODI # 2999
England vs Australia,England,Australia,England,4 wickets,Southampton,"Jun 22, 2010",ODI # 3000
Sri Lanka vs India,Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010",ODI # 3001
England vs Australia,England,Australia,England,4 wickets,Cardiff,"Jun 24, 2010",ODI # 3002
England vs Australia,England,Australia,England,1 wicket,Manchester,"Jun 27, 2010",ODI # 3003
England vs Australia,England,Australia,Australia,78 runs,The Oval,"Jun 30, 2010",ODI # 3004
Afghanistan vs Canada,Afghanistan,Canada,Afghanistan,6 wickets,The Hague,"Jul 1, 2010",ODI # 3005
Ireland vs Kenya,Ireland,Kenya,Ireland,7 wickets,Rotterdam,"Jul 1, 2010",ODI # 3006
Netherlands vs Scotland,Netherlands,Scotland,Scotland,1 wicket,Amstelveen,"Jul 1, 2010",ODI # 3007
Afghanistan vs Ireland,Afghanistan,Ireland,Ireland,39 runs,Rotterdam,"Jul 3-4, 2010",ODI # 3008
Canada vs Scotland,Canada,Scotland,Scotland,69 runs,Amstelveen,"Jul 3, 2010",ODI # 3009
Netherlands vs Kenya,Netherlands,Kenya,Netherlands,117 runs,The Hague,"Jul 3, 2010",ODI # 3010
England vs Australia,England,Australia,Australia,42 runs,Lord's,"Jul 3, 2010",ODI # 3011
Afghanistan vs Kenya,Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen,"Jul 5, 2010",ODI # 3012
Ireland vs Scotland,Ireland,Scotland,Ireland,5 wickets,The Hague,"Jul 5, 2010",ODI # 3013
Netherlands vs Canada,Netherlands,Canada,Netherlands,7 wickets,Rotterdam,"Jul 5, 2010",ODI # 3014
Canada vs Ireland,Canada,Ireland,Ireland,5 wickets,Amstelveen,"Jul 7, 2010",ODI # 3015
Kenya vs Scotland,Kenya,Scotland,Scotland,6 runs,Rotterdam,"Jul 7, 2010",ODI # 3016
Netherlands vs Afghanistan,Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague,"Jul 7, 2010",ODI # 3017
England vs Bangladesh,England,Bangladesh,England,6 wickets,Nottingham,"Jul 8, 2010",ODI # 3018
Afghanistan vs Scotland,Afghanistan,Scotland,Scotland,2 wickets,Rotterdam,"Jul 9, 2010",ODI # 3019
Canada vs Kenya,Canada,Kenya,Canada,6 wickets,Schiedam,"Jul 9, 2010",ODI # 3020
Netherlands vs Ireland,Netherlands,Ireland,Ireland,39 runs,Amstelveen,"Jul 9, 2010",ODI # 3021
Canada vs Kenya,Canada,Kenya,Canada,3 wickets,Schiedam,"Jul 10, 2010",ODI # 3022
Ireland vs Scotland,Ireland,Scotland,Ireland,6 wickets,Amstelveen,"Jul 10, 2010",ODI # 3023
Netherlands vs Afghanistan,Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam,"Jul 10, 2010",ODI # 3024
England vs Bangladesh,England,Bangladesh,Bangladesh,5 runs,Bristol,"Jul 10, 2010",ODI # 3025
England vs Bangladesh,England,Bangladesh,England,144 runs,Birmingham,"Jul 12, 2010",ODI # 3026
Ireland vs Bangladesh,Ireland,Bangladesh,Ireland,7 wickets,Belfast,"Jul 15, 2010",ODI # 3027
Ireland vs Bangladesh,Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,"Jul 16, 2010",ODI # 3028
Bangladesh vs Netherlands,Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,"Jul 20, 2010",ODI # 3029
India vs New Zealand,India,New Zealand,New Zealand,200 runs,Dambulla,"Aug 10, 2010",ODI # 3030
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,"Aug 13, 2010",ODI # 3031
Sri Lanka vs India,Sri Lanka,India,India,6 wickets,Dambulla,"Aug 16, 2010",ODI # 3032
Scotland vs Afghanistan,Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,"Aug 16, 2010",ODI # 3033
Ireland vs Netherlands,Ireland,Netherlands,Ireland,70 runs,Dublin,"Aug 16, 2010",ODI # 3034
Scotland vs Afghanistan,Scotland,Afghanistan,Scotland,6 wickets,Ayr,"Aug 17, 2010",ODI # 3035
Ireland vs Netherlands,Ireland,Netherlands,Ireland,9 wickets,Dublin,"Aug 18, 2010",ODI # 3036
Sri Lanka vs India,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,"Aug 22, 2010",ODI # 3038
India vs New Zealand,India,New Zealand,India,105 runs,Dambulla,"Aug 25, 2010",ODI # 3039
Sri Lanka vs India,Sri Lanka,India,Sri Lanka,74 runs,Dambulla,"Aug 28, 2010",ODI # 3040
Canada vs Ireland,Canada,Ireland,Canada,4 runs,Toronto,"Sep 6, 2010",ODI # 3041
Canada vs Ireland,Canada,Ireland,Ireland,92 runs,Toronto,"Sep 7, 2010",ODI # 3042
England vs Pakistan,England,Pakistan,England,24 runs,Chester-le-Street,"Sep 10, 2010",ODI # 3043
England vs Pakistan,England,Pakistan,England,4 wickets,Leeds,"Sep 12, 2010",ODI # 3044
England vs Pakistan,England,Pakistan,Pakistan,23 runs,The Oval,"Sep 17, 2010",ODI # 3045
England vs Pakistan,England,Pakistan,Pakistan,38 runs,Lord's,"Sep 20, 2010",ODI # 3046
England vs Pakistan,England,Pakistan,England,121 runs,Southampton,"Sep 22, 2010",ODI # 3047
Zimbabwe vs Ireland,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Sep 26, 2010",ODI # 3048
Zimbabwe vs Ireland,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Sep 28, 2010",ODI # 3049
Zimbabwe vs Ireland,Zimbabwe,Ireland,Ireland,20 runs,Harare,"Sep 30, 2010",ODI # 3050
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,9 runs,Mirpur,"Oct 5, 2010",ODI # 3051
Kenya vs Afghanistan,Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),"Oct 7, 2010",ODI # 3052
Kenya vs Afghanistan,Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),"Oct 9, 2010",ODI # 3053
