teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Strike Rate,Match id
Bangladesh,2,Imrul Kayes,c Kohli b Tyagi,9,8,10,2,0,112.50,2942
Bangladesh,3,Mohammad Ashraful,b Sreesanth,4,9,7,1,0,44.44,2942
Bangladesh,4,Raqibul Hasan,run out (Yuvraj Singh),28,46,64,3,0,60.86,2942
Bangladesh,5,Shakib Al Hasan (c),c †Dhoni b Nehra,85,97,115,8,1,87.62,2942
Bangladesh,6,Mushfiqur Rahim †,c Raina b Yuvraj Singh,7,18,19,1,0,38.88,2942
Bangladesh,7,Mahmudullah,not out,64,80,99,5,1,80.00,2942
Bangladesh,8,Naeem Islam,not out,22,14,22,2,1,157.14,2942
India,1,Dinesh Karthik,c †Mushfiqur Rahim b Shafiul Islam,34,39,53,3,1,87.17,2942
India,2,Gautam Gambhir,b Naeem Islam,41,46,69,5,0,89.13,2942
India,3,Virat Kohli,not out,102,95,128,11,0,107.36,2942
India,4,Yuvraj Singh,lbw b Naeem Islam,13,25,28,1,0,52.00,2942
India,5,MS Dhoni (c)†,c Imrul Kayes b Shakib Al Hasan,32,35,53,3,0,91.42,2942
India,6,Suresh Raina,not out,18,18,29,1,0,100.00,2942
India,1,Virender Sehwag,c †Sangakkara b Kulasekara,42,27,52,7,0,155.55,2943
India,2,Gautam Gambhir,b Kulasekara,0,2,2,0,0,0.00,2943
India,3,Virat Kohli,c †Sangakkara b Welegedara,2,8,6,0,0,25.00,2943
India,4,Yuvraj Singh,c Samaraweera b Welegedara,0,3,8,0,0,0.00,2943
India,5,MS Dhoni (c)†,c †Sangakkara b Kulasekara,14,19,23,3,0,73.68,2943
India,6,Suresh Raina,b Welegedara,106,115,152,10,1,92.17,2943
India,7,Ravindra Jadeja,lbw b Dilshan,38,64,93,0,0,59.37,2943
India,8,Harbhajan Singh,lbw b Randiv,11,26,31,0,0,42.30,2943
India,9,Zaheer Khan,c Samaraweera b Kulasekara,16,8,10,2,1,200.00,2943
India,10,Ashish Nehra,not out,2,3,18,0,0,66.66,2943
India,11,Sreesanth,b Perera,4,15,12,0,0,26.66,2943
Sri Lanka,1,Upul Tharanga,c Kohli b Nehra,0,3,2,0,0,0.00,2943
Sri Lanka,2,Tillakaratne Dilshan,c †Dhoni b Yuvraj Singh,49,54,82,8,0,90.74,2943
Sri Lanka,3,Kumar Sangakkara (c)†,c Sehwag b Harbhajan Singh,55,51,91,8,0,107.84,2943
Sri Lanka,4,Mahela Jayawardene,not out,71,81,136,5,0,87.65,2943
Sri Lanka,5,Thilan Samaraweera,b Jadeja,27,41,55,2,0,65.85,2943
Sri Lanka,6,Thilina Kandamby,lbw b Harbhajan Singh,18,26,23,0,0,69.23,2943
Sri Lanka,7,Suraj Randiv,run out (Jadeja),17,30,34,1,0,56.66,2943
Sri Lanka,8,Thisara Perera,not out,6,6,10,1,0,100.00,2943
Pakistan,1,Salman Butt,c †Haddin b Bollinger,72,81,97,12,0,88.88,2944
Pakistan,2,Kamran Akmal †,c Clarke b Watson,34,34,56,4,0,100.00,2944
Pakistan,3,Younis Khan,c Marsh b McKay,46,74,128,1,0,62.16,2944
Pakistan,4,Mohammad Yousuf (c),b Bollinger,2,7,9,0,0,28.57,2944
Pakistan,5,Umar Akmal,c †Haddin b McKay,23,22,23,3,0,104.54,2944
Pakistan,6,Shoaib Malik,c †Haddin b Watson,28,33,38,2,0,84.84,2944
Pakistan,7,Shahid Afridi,c Hussey b Watson,48,26,32,5,3,184.61,2944
Pakistan,8,Mohammad Amir,c †Haddin b McKay,0,1,2,0,0,0.00,2944
Pakistan,9,Naved-ul-Hasan,not out,8,11,26,1,0,72.72,2944
Pakistan,10,Saeed Ajmal,c Clarke b Watson,2,7,7,0,0,28.57,2944
Pakistan,11,Mohammad Asif,run out (Ponting),0,4,2,0,0,0.00,2944
Australia,1,Shane Watson,c Saeed Ajmal b Mohammad Amir,5,12,14,0,0,41.66,2944
Australia,2,Shaun Marsh,c Naved-ul-Hasan b Mohammad Asif,15,24,37,2,0,62.50,2944
Australia,3,Ricky Ponting (c),c sub (Khalid Latif) b Shahid Afridi,27,47,61,1,0,57.44,2944
Australia,4,Michael Clarke,run out (Naved-ul-Hasan),58,76,108,1,0,76.31,2944
Australia,5,Cameron White,b Naved-ul-Hasan,105,88,114,8,4,119.31,2944
Australia,6,Michael Hussey,not out,35,37,55,2,0,94.59,2944
Australia,7,Brad Haddin †,not out,7,7,10,0,0,100.00,2944
Australia,1,Shane Watson,c Shoaib Malik b Shahid Afridi,69,71,84,9,1,97.18,2945
Australia,2,Shaun Marsh,c Umar Gul b Shahid Afridi,41,60,97,4,0,68.33,2945
Australia,3,Ricky Ponting (c),c Mohammad Yousuf b Mohammad Amir,13,28,35,0,0,46.42,2945
Australia,4,Michael Clarke,c Shahid Afridi b Umar Gul,25,35,51,2,0,71.42,2945
Australia,5,Cameron White,c Mohammad Yousuf b Mohammad Amir,55,58,91,4,1,94.82,2945
Australia,6,Michael Hussey,c Shoaib Malik b Mohammad Amir,29,34,41,1,0,85.29,2945
Australia,7,Brad Haddin †,not out,27,14,23,3,0,192.85,2945
Australia,8,Nathan Hauritz,not out,1,1,2,0,0,100.00,2945
Pakistan,1,Salman Butt,c White b Bollinger,2,15,19,0,0,13.33,2945
Pakistan,2,Kamran Akmal †,run out (McKay),16,31,50,1,1,51.61,2945
Pakistan,3,Younis Khan,c White b Bollinger,0,3,3,0,0,0.00,2945
Pakistan,4,Mohammad Yousuf (c),c Hauritz b McKay,58,94,135,3,1,61.70,2945
Pakistan,5,Umar Akmal,b Siddle,0,2,2,0,0,0.00,2945
Pakistan,6,Shoaib Malik,c Ponting b McKay,2,24,29,0,0,8.33,2945
Pakistan,7,Shahid Afridi,c & b Watson,9,7,20,0,1,128.57,2945
Pakistan,8,Mohammad Amir,c & b Hauritz,4,9,12,0,0,44.44,2945
Pakistan,9,Naved-ul-Hasan,st †Haddin b Hauritz,27,22,29,1,2,122.72,2945
