Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
India vs Sri Lanka,India,Sri Lanka,India,4 wickets,Eden Gardens,"Jan 12, 2023",ODI # 4503
Pakistan vs New Zealand,Pakistan,New Zealand,New Zealand,2 wickets,Karachi,"Jan 13, 2023",ODI # 4504
India vs Sri Lanka,India,Sri Lanka,India,317 runs,Thiruvananthapuram,"Jan 15, 2023",ODI # 4505
Zimbabwe vs Ireland,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,"Jan 18, 2023",ODI # 4506
India vs New Zealand,India,New Zealand,India,12 runs,Hyderabad,"Jan 18, 2023",ODI # 4507
Zimbabwe vs Ireland,Zimbabwe,Ireland,Ireland,46 runs,Harare,"Jan 21, 2023",ODI # 4508
India vs New Zealand,India,New Zealand,India,8 wickets,Raipur,"Jan 21, 2023",ODI # 4509
India vs New Zealand,India,New Zealand,India,90 runs,Indore,"Jan 24, 2023",ODI # 4511
South Africa vs England,South Africa,England,South Africa,27 runs,Bloemfontein,"Jan 27, 2023",ODI # 4512
South Africa vs England,South Africa,England,South Africa,5 wickets,Bloemfontein,"Jan 29, 2023",ODI # 4513
South Africa vs England,South Africa,England,England,59 runs,Kimberley,"Feb 1, 2023",ODI # 4514
Bangladesh vs England,Bangladesh,England,England,3 wickets,Mirpur,"Mar 1, 2023",ODI # 4525
Bangladesh vs England,Bangladesh,England,England,132 runs,Mirpur,"Mar 3, 2023",ODI # 4528
Bangladesh vs England,Bangladesh,England,Bangladesh,50 runs,Chattogram,"Mar 6, 2023",ODI # 4531
India vs Australia,India,Australia,India,5 wickets,Wankhede,"Mar 17, 2023",ODI # 4538
Bangladesh vs Ireland,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet,"Mar 18, 2023",ODI # 4539
South Africa vs West Indies,South Africa,West Indies,West Indies,48 runs,East London,"Mar 18, 2023",ODI # 4540
India vs Australia,India,Australia,Australia,10 wickets,Visakhapatnam,"Mar 19, 2023",ODI # 4541
South Africa vs West Indies,South Africa,West Indies,South Africa,4 wickets,Potchefstroom,"Mar 21, 2023",ODI # 4544
India vs Australia,India,Australia,Australia,21 runs,Chennai,"Mar 22, 2023",ODI # 4545
Bangladesh vs Ireland,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet,"Mar 23, 2023",ODI # 4547
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,198 runs,Auckland,"Mar 25, 2023",ODI # 4548
